famille,fichier,chemin_relatif,exercice,format,taille_ko,metrique_type,metrique_valeur
AS485,AS485_BD_2019_2020.csv,Archives/AS485/2019-2020/AS485_BD_2019_2020.csv,2019-2020,csv,3429.4,lignes,26117
AS485,AS485_BD_2020_2021.csv,Archives/AS485/2020-2021/AS485_BD_2020_2021.csv,2020-2021,csv,3141.1,lignes,23869
AS485,AS485_BD_2022-09-12.csv,Archives/AS485/2021-2022/AS485_BD_2022-09-12.csv,2021-2022,csv,3263.0,lignes,24519
AS485,AS-485_2022-2023_01_11045119.pdf,Archives/AS485/2022-2023/AS-485_2022-2023_01_11045119.pdf,2022-2023,pdf,6798.8,,
AS485,AS485_BD_2022_2023.csv,Archives/AS485/2022-2023/AS485_BD_2022_2023.csv,2022-2023,csv,3203.3,lignes,23987
Contours financiers,Depenses-de-services-a-domicile-par-programme-et-par-region-2013-2014.xlsx,Archives/Contours financiers/2013-2014/Depenses-de-services-a-domicile-par-programme-et-par-region-2013-2014.xlsx,2013-2014,xlsx,28.7,feuilles,1
Contours financiers,Depenses-par-programme-et-par-centre-dactivites-2013-2014(2).xlsx,Archives/Contours financiers/2013-2014/Depenses-par-programme-et-par-centre-dactivites-2013-2014(2).xlsx,2013-2014,xlsx,44.4,feuilles,1
Contours financiers,Depenses-par-programme-et-par-region-2013-2014(1).xlsx,Archives/Contours financiers/2013-2014/Depenses-par-programme-et-par-region-2013-2014(1).xlsx,2013-2014,xlsx,25.3,feuilles,1
Contours financiers,Matrice-methodologique-Documentation-2013-2014.doc,Archives/Contours financiers/2013-2014/Matrice-methodologique-Documentation-2013-2014.doc,2013-2014,doc,59.0,,
Contours financiers,Matrice-methodologique-Resultats-2013-2014.xlsx,Archives/Contours financiers/2013-2014/Matrice-methodologique-Resultats-2013-2014.xlsx,2013-2014,xlsx,54.5,feuilles,3
Contours financiers,SAD-par-Ca-201314.xlsx,Archives/Contours financiers/2013-2014/SAD-par-Ca-201314.xlsx,2013-2014,xlsx,19.6,feuilles,1
Contours financiers,01-Contour-Financier-SAD-par-CA-2014-15.xlsx,Archives/Contours financiers/2014-2015/01-Contour-Financier-SAD-par-CA-2014-15.xlsx,2014-2015,xlsx,20.4,feuilles,1
Contours financiers,03-Contour-Financier-Depenses-prog-par-CA-2014-15(1).xlsx,Archives/Contours financiers/2014-2015/03-Contour-Financier-Depenses-prog-par-CA-2014-15(1).xlsx,2014-2015,xlsx,44.8,feuilles,1
Contours financiers,04-Contour-Financier-Depenses-prog-Regions-2014-15.xlsx,Archives/Contours financiers/2014-2015/04-Contour-Financier-Depenses-prog-Regions-2014-15.xlsx,2014-2015,xlsx,25.2,feuilles,1
Contours financiers,05-Contour-Financier-Matrice-methodologique-2014-15.doc,Archives/Contours financiers/2014-2015/05-Contour-Financier-Matrice-methodologique-2014-15.doc,2014-2015,doc,52.5,,
Contours financiers,06-Contour-Financier-SAD-par-prog-et-region-2014-15.xlsx,Archives/Contours financiers/2014-2015/06-Contour-Financier-SAD-par-prog-et-region-2014-15.xlsx,2014-2015,xlsx,31.9,feuilles,1
Contours financiers,07-Contour-Financier-Matrice-methodologique-Contour-2014-15.xlsx,Archives/Contours financiers/2014-2015/07-Contour-Financier-Matrice-methodologique-Contour-2014-15.xlsx,2014-2015,xlsx,54.3,feuilles,3
Contours financiers,Depenses_de_services_a_domicile_par_centre_d-activites_et_par_region_1516.xlsx,Archives/Contours financiers/2015-2016/Depenses_de_services_a_domicile_par_centre_d-activites_et_par_region_1516.xlsx,2015-2016,xlsx,20.8,feuilles,1
Contours financiers,Depenses_de_services_a_domicile_par_programme_et_par_region_1516.xlsx,Archives/Contours financiers/2015-2016/Depenses_de_services_a_domicile_par_programme_et_par_region_1516.xlsx,2015-2016,xlsx,31.9,feuilles,1
Contours financiers,Depenses_par_programme_et_par_centre_d-activites_1516(1).xlsx,Archives/Contours financiers/2015-2016/Depenses_par_programme_et_par_centre_d-activites_1516(1).xlsx,2015-2016,xlsx,47.4,feuilles,1
Contours financiers,Depenses_par_programme_et_par_regions_1516.xlsx,Archives/Contours financiers/2015-2016/Depenses_par_programme_et_par_regions_1516.xlsx,2015-2016,xlsx,26.5,feuilles,1
Contours financiers,depenses-de-services-a-domicile-par-CA-et-par-region-1617.xlsx,Archives/Contours financiers/2016-2017/depenses-de-services-a-domicile-par-CA-et-par-region-1617.xlsx,2016-2017,xlsx,20.3,feuilles,1
Contours financiers,depenses-de-services-a-domicile-par-programme-et-par-region-1617.xlsx,Archives/Contours financiers/2016-2017/depenses-de-services-a-domicile-par-programme-et-par-region-1617.xlsx,2016-2017,xlsx,18.4,feuilles,1
